"Step","SpaceInvadersNoFrameskip-v4__dqn_atari__1__1745790578 - charts/local_optimality_gap","SpaceInvadersNoFrameskip-v4__dqn_atari__1__1745790578 - charts/local_optimality_gap__MIN","SpaceInvadersNoFrameskip-v4__dqn_atari__1__1745790578 - charts/local_optimality_gap__MAX","SpaceInvadersNoFrameskip-v4__dqn_atari__3__1745790573 - charts/local_optimality_gap","SpaceInvadersNoFrameskip-v4__dqn_atari__3__1745790573 - charts/local_optimality_gap__MIN","SpaceInvadersNoFrameskip-v4__dqn_atari__3__1745790573 - charts/local_optimality_gap__MAX","SpaceInvadersNoFrameskip-v4__dqn_atari__2__1745790573 - charts/local_optimality_gap","SpaceInvadersNoFrameskip-v4__dqn_atari__2__1745790573 - charts/local_optimality_gap__MIN","SpaceInvadersNoFrameskip-v4__dqn_atari__2__1745790573 - charts/local_optimality_gap__MAX"
"1","0","0","0","0","0","0","0","0","0"
"2","40","40","40","97.5","97.5","97.5","40","40","40"
"3","76.66666412353516","76.66666412353516","76.66666412353516","158.3333282470703","158.3333282470703","158.3333282470703","73.33333587646484","73.33333587646484","73.33333587646484"
"4","66.25","66.25","66.25","177.5","177.5","177.5","81.25","81.25","81.25"
"5","84","84","84","188","188","188","97","97","97"
"6","99.16666412353516","99.16666412353516","99.16666412353516","195","195","195","130.83334350585938","130.83334350585938","130.83334350585938"
"7","389.28570556640625","389.28570556640625","389.28570556640625","189.2857208251953","189.2857208251953","189.2857208251953","129.28570556640625","129.28570556640625","129.28570556640625"
"8","400","400","400","188.75","188.75","188.75","126.25","126.25","126.25"
"9","382.22222900390625","382.22222900390625","382.22222900390625","197.77777099609375","197.77777099609375","197.77777099609375","135.55555725097656","135.55555725097656","135.55555725097656"
"10","387","387","387","198","198","198","138.5","138.5","138.5"
"11","400.45452880859375","400.45452880859375","400.45452880859375","189.5454559326172","189.5454559326172","189.5454559326172","198.6363525390625","198.6363525390625","198.6363525390625"
"12","397.5","397.5","397.5","197.9166717529297","197.9166717529297","197.9166717529297","205","205","205"
"13","401.5384521484375","401.5384521484375","401.5384521484375","196.15383911132812","196.15383911132812","196.15383911132812","197.6923065185547","197.6923065185547","197.6923065185547"
"14","406.4285888671875","406.4285888671875","406.4285888671875","198.2142791748047","198.2142791748047","198.2142791748047","197.5","197.5","197.5"
"15","410","410","410","193.3333282470703","193.3333282470703","193.3333282470703","191","191","191"
"16","415.9375","415.9375","415.9375","188.75","188.75","188.75","235.3125","235.3125","235.3125"
"17","413.23529052734375","413.23529052734375","413.23529052734375","187.94117736816406","187.94117736816406","187.94117736816406","235.88235473632812","235.88235473632812","235.88235473632812"
"18","417.22222900390625","417.22222900390625","417.22222900390625","191.38888549804688","191.38888549804688","191.38888549804688","237.77777099609375","237.77777099609375","237.77777099609375"
"19","418.4210510253906","418.4210510253906","418.4210510253906","190.7894744873047","190.7894744873047","190.7894744873047","239.4736785888672","239.4736785888672","239.4736785888672"
"20","419.75","419.75","419.75","194","194","194","237.5","237.5","237.5"
"21","422.3809509277344","422.3809509277344","422.3809509277344","270.4761962890625","270.4761962890625","270.4761962890625","238.57142639160156","238.57142639160156","238.57142639160156"
"22","420","420","420","272.272705078125","272.272705078125","272.272705078125","237.9545440673828","237.9545440673828","237.9545440673828"
"23","424.5652160644531","424.5652160644531","424.5652160644531","268.478271484375","268.478271484375","268.478271484375","238.2608642578125","238.2608642578125","238.2608642578125"
"24","425.41668701171875","425.41668701171875","425.41668701171875","272.91668701171875","272.91668701171875","272.91668701171875","238.5416717529297","238.5416717529297","238.5416717529297"
"25","422","422","422","276.79998779296875","276.79998779296875","276.79998779296875","235.60000610351562","235.60000610351562","235.60000610351562"
"26","420.9615478515625","420.9615478515625","420.9615478515625","278.076904296875","278.076904296875","278.076904296875","232.11538696289062","232.11538696289062","232.11538696289062"
"27","418.8888854980469","418.8888854980469","418.8888854980469","281.1111145019531","281.1111145019531","281.1111145019531","228.70370483398438","228.70370483398438","228.70370483398438"
"28","423.03570556640625","423.03570556640625","423.03570556640625","280.53570556640625","280.53570556640625","280.53570556640625","226.42857360839844","226.42857360839844","226.42857360839844"
"29","426.72412109375","426.72412109375","426.72412109375","284.82757568359375","284.82757568359375","284.82757568359375","228.96551513671875","228.96551513671875","228.96551513671875"
"30","430","430","430","285.5","285.5","285.5","231","231","231"
"31","433.8709716796875","433.8709716796875","433.8709716796875","285.6451416015625","285.6451416015625","285.6451416015625","232.4193572998047","232.4193572998047","232.4193572998047"
"32","437.96875","437.96875","437.96875","288.125","288.125","288.125","234.21875","234.21875","234.21875"
"33","437.57574462890625","437.57574462890625","437.57574462890625","287.727294921875","287.727294921875","287.727294921875","232.1212158203125","232.1212158203125","232.1212158203125"
"34","437.20587158203125","437.20587158203125","437.20587158203125","287.941162109375","287.941162109375","287.941162109375","232.94117736816406","232.94117736816406","232.94117736816406"
"35","437.71429443359375","437.71429443359375","437.71429443359375","287.28570556640625","287.28570556640625","287.28570556640625","234.85714721679688","234.85714721679688","234.85714721679688"
"36","433.75","433.75","433.75","286.1111145019531","286.1111145019531","286.1111145019531","235.97222900390625","235.97222900390625","235.97222900390625"
"37","432.02703857421875","432.02703857421875","432.02703857421875","285.1351318359375","285.1351318359375","285.1351318359375","236.21621704101562","236.21621704101562","236.21621704101562"
"38","425.9210510253906","425.9210510253906","425.9210510253906","288.02630615234375","288.02630615234375","288.02630615234375","238.0263214111328","238.0263214111328","238.0263214111328"
"39","428.71795654296875","428.71795654296875","428.71795654296875","284.23077392578125","284.23077392578125","284.23077392578125","239.61538696289062","239.61538696289062","239.61538696289062"
"40","329.875","329.875","329.875","239.625","239.625","239.625","293","293","293"
"41","327.68292236328125","327.68292236328125","327.68292236328125","238.65853881835938","238.65853881835938","238.65853881835938","295.18292236328125","295.18292236328125","295.18292236328125"
